,EmployeeNumber,Age,Attrition,Department,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,RelationshipSatisfaction,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager
0,1,41,Yes,Sales,2,Life Sciences,2,Female,3,2,Sales Executive,4,5993,1,6,4,5
1,2,49,No,Research & Development,1,Life Sciences,3,Male,2,2,Research Scientist,2,5130,4,10,7,7
2,4,37,Yes,Research & Development,2,Other,4,Male,2,1,Laboratory Technician,3,2090,2,0,0,0
3,5,33,No,Research & Development,4,Life Sciences,4,Female,3,1,Research Scientist,3,2909,3,8,7,0
4,7,27,No,Research & Development,1,Medical,1,Male,3,1,Laboratory Technician,2,3468,4,2,2,2
5,8,32,No,Research & Development,2,Life Sciences,4,Male,3,1,Laboratory Technician,4,3068,3,7,7,6
6,10,59,No,Research & Development,3,Medical,3,Female,4,1,Laboratory Technician,1,2670,1,1,0,0
7,11,30,No,Research & Development,1,Life Sciences,4,Male,3,1,Laboratory Technician,3,2693,2,1,0,0
8,12,38,No,Research & Development,3,Life Sciences,4,Male,2,3,Manufacturing Director,3,9526,2,9,7,8
9,13,36,No,Research & Development,3,Medical,3,Male,3,2,Healthcare Representative,3,5237,2,7,7,7
10,14,35,No,Research & Development,3,Medical,1,Male,4,1,Laboratory Technician,2,2426,3,5,4,3
11,15,29,No,Research & Development,2,Life Sciences,4,Female,2,2,Laboratory Technician,3,4193,4,9,5,8
12,16,31,No,Research & Development,1,Life Sciences,1,Male,3,1,Research Scientist,3,2911,4,5,2,3
13,18,34,No,Research & Development,2,Medical,2,Male,3,1,Laboratory Technician,4,2661,3,2,2,2
14,19,28,Yes,Research & Development,3,Life Sciences,3,Male,2,1,Laboratory Technician,3,2028,2,4,2,3
15,20,29,No,Research & Development,4,Life Sciences,2,Female,4,3,Manufacturing Director,1,9980,3,10,9,8
16,21,32,No,Research & Development,2,Life Sciences,1,Male,4,1,Research Scientist,2,3298,4,6,2,5
17,22,22,No,Research & Development,2,Medical,4,Male,4,1,Laboratory Technician,4,2935,2,1,0,0
18,23,53,No,Sales,4,Life Sciences,1,Female,2,4,Manager,4,15427,3,25,8,7
19,24,38,No,Research & Development,3,Life Sciences,4,Male,3,1,Research Scientist,4,3944,3,3,2,2
20,26,24,No,Research & Development,2,Other,1,Female,4,2,Manufacturing Director,3,4011,4,4,2,3
21,27,36,Yes,Sales,4,Life Sciences,3,Male,2,1,Sales Representative,1,3407,2,5,3,3
22,28,34,No,Research & Development,4,Life Sciences,1,Female,3,3,Research Director,2,11994,3,12,6,11
23,30,21,No,Research & Development,2,Life Sciences,3,Male,3,1,Research Scientist,4,1232,4,0,0,0
24,31,34,Yes,Research & Development,1,Medical,2,Male,3,1,Research Scientist,1,2960,3,4,2,3
25,32,53,No,Research & Development,3,Other,3,Female,3,5,Manager,3,19094,4,14,13,8
26,33,32,Yes,Research & Development,1,Life Sciences,2,Female,1,1,Research Scientist,1,3919,2,10,2,7
27,35,42,No,Sales,4,Marketing,3,Male,3,2,Sales Executive,2,6825,4,9,7,2
28,36,44,No,Research & Development,4,Medical,1,Female,2,3,Healthcare Representative,4,10248,4,22,6,17
29,38,46,No,Sales,4,Marketing,2,Female,3,5,Manager,1,18947,4,2,2,1
30,39,33,No,Research & Development,3,Medical,3,Male,3,1,Laboratory Technician,4,2496,4,1,1,0
31,40,44,No,Research & Development,4,Other,4,Male,3,2,Healthcare Representative,4,6465,4,4,2,3
32,41,30,No,Research & Development,2,Medical,4,Male,2,1,Laboratory Technician,3,2206,1,10,0,8
33,42,39,Yes,Sales,3,Technical Degree,4,Male,3,2,Sales Representative,4,2086,3,1,0,0
34,45,24,Yes,Research & Development,3,Medical,2,Male,3,1,Research Scientist,4,2293,1,2,0,0
35,46,43,No,Research & Development,2,Medical,4,Female,4,1,Research Scientist,3,2645,4,5,3,4
36,47,50,Yes,Sales,2,Marketing,1,Male,2,1,Sales Representative,3,2683,3,3,2,2
37,49,35,No,Sales,3,Marketing,4,Female,3,1,Sales Representative,4,2014,1,2,2,2
38,51,36,No,Research & Development,4,Life Sciences,2,Female,2,1,Research Scientist,1,3419,4,1,1,0
39,52,33,No,Sales,3,Life Sciences,3,Female,4,2,Sales Executive,1,5376,1,5,3,3
40,53,35,No,Research & Development,2,Other,3,Male,3,1,Laboratory Technician,4,1951,3,1,0,0
41,54,27,No,Research & Development,4,Life Sciences,4,Female,3,1,Laboratory Technician,1,2341,4,1,0,0
42,55,26,Yes,Research & Development,3,Life Sciences,1,Male,1,1,Laboratory Technician,3,2293,3,1,0,1
43,56,27,No,Sales,3,Life Sciences,4,Male,3,3,Sales Executive,3,8726,4,9,8,7
44,57,30,No,Research & Development,2,Medical,3,Female,3,2,Laboratory Technician,4,4011,4,12,8,7
45,58,41,Yes,Research & Development,3,Technical Degree,2,Female,3,5,Research Director,3,19545,4,22,15,8
46,60,34,No,Sales,4,Marketing,2,Male,3,2,Sales Executive,3,4568,3,9,5,7
47,61,37,No,Research & Development,2,Life Sciences,2,Male,3,1,Research Scientist,2,3022,1,1,0,0
48,62,46,No,Sales,4,Marketing,1,Male,3,2,Sales Executive,4,5772,3,9,6,8
49,63,35,No,Research & Development,1,Life Sciences,4,Male,4,1,Laboratory Technician,4,2269,4,1,0,1
50,64,48,Yes,Research & Development,2,Life Sciences,1,Male,2,3,Laboratory Technician,3,5381,4,1,0,0
51,65,28,Yes,Research & Development,4,Technical Degree,3,Male,3,1,Laboratory Technician,3,3441,3,2,2,2
52,68,44,No,Sales,5,Marketing,2,Female,3,2,Sales Executive,1,5454,3,4,3,3
53,70,35,No,Research & Development,2,Medical,3,Male,2,3,Healthcare Representative,1,9884,3,4,0,3
54,72,26,No,Sales,3,Marketing,3,Female,2,2,Sales Executive,4,4157,3,2,2,0
55,73,33,No,Research & Development,2,Life Sciences,1,Female,3,3,Research Director,4,13458,3,15,14,12
56,74,35,No,Sales,5,Life Sciences,2,Male,3,3,Sales Executive,1,9069,4,9,8,8
57,75,35,No,Research & Development,4,Medical,3,Female,3,1,Laboratory Technician,1,4014,3,2,2,2
